w1	w2	gold	Note
mızrap	barınak	0.008
kırmızı	gül	0.717
suçlu	şüphe	0.7
laikçiler	sekülerizmciler	0.942
bitki	zeytin	0.675
serin	soğuk	0.883
gül	pamuk	0.358
içki	alkol	0.908
köle	serbest	0.65
saray	pıhtı	0.017
affedişi	bağışlayışı	0.9
sofra	zeytin	0.717
eşya	gözlük	0.6
meslek	mühendis	0.692
savunmaktaydılar	korumaktaydılar	0.85
peynir	ipek	0.05
turizm	seyahat	0.825
tıknaz	uyumlu	0.08299999999999999
kemalci	atatürkist	0.9640000000000001
polis	yardım	0.758
gürültü	otobüs	0.5
temiz	titiz	0.917
kitaplıklar	kitap	0.875
böcek	karınca	0.733
gazete	kitap	0.717
okul	kordon	0.10800000000000001
ibadet	oruç	0.825
varlık	hayvan	0.55
tüketim	üretim	0.85
sihirbaz	büyücü	0.733
giysi	gömlek	0.742
hayvan	tavuk	0.725
sevgili	çiçek	0.65
turizm	ekonomi	0.583
eski	yeni	0.9
yüzük	sevgili	0.608
primatçaları	maymunsuları	0.817
bilimci	faiz	0.033
gündüz	öğle	0.817
otomobil	taksi	0.858
çare	sos	0.125
evrensel	sos	0.092
viski	varlık	0.08299999999999999
alacaklanmak	tabure	0.008
sebze	enginar	0.725
damar	rahatsız	0.375
öğrenci	yağcılık	0.4
bitki	sebze	0.733
zarar	tımarhane	0.10800000000000001
kelebek	eski	0.008
zaman	gündüz	0.717
meslek	polis	0.708
su	yağmur	0.8
nefes	soyut	0.08299999999999999
yedigen	aykırı	0.041999999999999996
titiz	pimpirikli	0.683
fotoğraf	karton	0.383
tutsak	serbest	0.842
fazlalık	ısınmış	0.133
laikçiler	tepe	0.045
suçlu	bağışlayışı	0.625
serbest	radyo	0.173
uzun	tıknaz	0.433
kan	pıhtı	0.783
delilim	ispatım	0.95
erkekçene	eksik	0.05
delilim	deli	0.08299999999999999
üşengeç	üşengen	0.783
gül	dostçasına	0.20800000000000002
kum	karınca	0.45
tutsak	köle	0.925
kazanç	aykırı	0.067
içki	viski	0.858
üşengen	yedigen	0.025
mutfak	kahvaltı	0.708
çamaşır	külot	0.8
yorgun	yorgunluk	0.892
transparan	kemik	0.057999999999999996
muz	yoğurt	0.34199999999999997
damar	kan	0.842
ilkellik	cenin	0.142
temiz	kirlice	0.733
modernite	öncülük	0.533
peşinatsız	borçlanmak	0.6
öğrenci	kitap	0.733
mühendis	bilişim	0.683
zeki	çocuk	0.525
avare	başıboş	0.925
tren	inançlılık	0.017
mücevher	şahane	0.275
başladılarsa	bitirdilerse	0.792
keşiş	köle	0.183
palto	ceket	0.8
oksijen	su	0.767
taşıt	tren	0.817
kıyı	tepe	0.40800000000000003
adalet	vicdan	0.65
rahatsız	alışkın	0.442
kavramsallaştırsın	soyut	0.48200000000000004
hayat	fani	0.708
ıslak	deniz	0.667
kitaplıklar	kitaphane	0.842
din	vicdan	0.542
brüt	çamaşır	0.008
tıknaz	şiddetli	0.017
yüreklicesine	gevşek	0.025
cenin	kuyumcu	0.008
gözlükçü	gözlük	0.875
affedişi	cezalandırışı	0.717
bilişim	sebze	0.017
iktidarcılar	sabahlardaki	0.017
cinayetindeki	asosyalleştirdikleri	0.025
zarar	kazanç	0.842
kuş	turna	0.783
brüt	kesintili	0.636
borçlanmak	faiz	0.642
zaman	öğle	0.733
mücevher	sicim	0.1
külot	aile	0.025
mezarhane	mutfak	0.017
bitirdilerse	geceleyin	0.158
yoldaş	delikanlı	0.233
ıslak	serin	0.5
barınak	tımarhane	0.10800000000000001
zarar	kadın	0.041999999999999996
atletik	avare	0.017
cansız	yaşlıymışçasına	0.2
peynir	karton	0.041999999999999996
süreli	süresiz	0.858
tutsak	özgür	0.867
gevşek	heykel	0.017
kamyon	sesteş	0.008
yiyecek	sos	0.717
modernite	ilkellik	0.6
keşiş	kahin	0.525
turna	uygulamak	0.008
ormanlık	fotoğraf	0.25
sosyalleştirdikleri	asosyalleştirdikleri	0.817
cinayetindeki	kemik	0.217
masum	kuşku	0.475
delikanlı	büyücü	0.017
uzun	atletik	0.592
deniz	sahil	0.867
orman	meyve	0.617
hayat	nefes	0.758
mızrap	tabure	0.05
sıcak	ısınmış	0.833
gülüş	gülümseme	0.917
muz	gemicik	0.067
hukuk	hayat	0.217
evetçiler	hayırcılar	0.933
kamyon	manken	0.017
terazi	adalet	0.683
sarsıcı	gençmişçesine	0.025
uzak	yakın	0.925
dükkan	vitrin	0.755
nefes	oksijen	0.817
enginar	boza	0.308
giysi	külot	0.692
deneyimleme	pratikleştirsin	0.475
sahil	ormanlık	0.375
masum	öldürülüşündeki	0.292
siyah	petrol	0.583
haşarı	enerjik	0.575
teizm	müzik	0.025
para	faiz	0.667
normalleşiyor	sabahlardaki	0.017
atatürkçülerden	kemalizmcilerden	0.892
alkol	viski	0.883
muhalefetçiler	iktidarcılar	0.892
horoz	tavuk	0.9
çerçeve	fotoğraf	0.85
süt	lokanta	0.34199999999999997
tahta	tabure	0.658
kağıt	karton	0.783
varlık	para	0.767
ses	sesteş	0.642
eksik	ilaç	0.033
eşya	cisim	0.7
haber	uzun	0.092
hayırcılar	barıştırılırken	0.133
pamuk	giysi	0.7
hamile	cenin	0.792
ispatım	almışlardır	0.025
süt	yoğurt	0.85
cansız	enerjik	0.7
sahil	kum	0.858
ses	mızrap	0.583
davadaş	ebediyeten	0.125
bitki	çiçek	0.792
seyahat	sefer	0.817
yardım	aile	0.425
petrol	yakıt	0.9
şair	modernite	0.20800000000000002
gevşek	sıkı	0.917
cihaz	lamba	0.608
din	devlet	0.617
saldırmaktaydılar	suskunluğuna	0.175
nezle	yorgunluk	0.558
cevher	fotoğraf	0.017
uzak	karınca	0.017
üşengeç	ebleh	0.225
yedigen	biçimlendirilmişlerdir	0.1
bilimci	karışık	0.10800000000000001
medya	sevgili	0.125
biçimlendirilmişlerdir	iyiliyorsun	0.075
kırmızı	okul	0.008
gülümseme	somurtma	0.892
okul	kitaplıklar	0.75
atatürkçülerden	palto	0.10800000000000001
kadeh	bıçak	0.46699999999999997
özgür	haber	0.6
palto	kapüşon	0.75
ibadet	namaz	0.833
soyut	somut	0.925
süresiz	ebediyeten	0.917
taşıt	kamyon	0.842
tren	yakıt	0.742
yoldaş	keşiş	0.375
horoz	sefer	0.017
tabure	çerçeve	0.075
kordon	gülümseme	0.008
zeki	akıllı	0.867
gençmişçesine	yaşlıymışçasına	0.808
nezle	ilaç	0.75
ilaç	çare	0.825
devlet	para	0.642
kavramsallaştırsın	çocuk	0.033
somurtma	kağıt	0.008
evrensel	bilimci	0.308
barınak	soğuk	0.367
ilaç	yakıt	0.15
evetçiler	yağmur	0.017
başlamadılarsa	düzenci	0.017
devlet	memur	0.7
alkol	sofra	0.55
boza	manken	0.017
cevher	gözlükçü	0.025
anne	memur	0.067
oğlan	ilkellik	0.041999999999999996
dostçasına	arkadaşımsı	0.792
dua	yüzük	0.057999999999999996
opak	geçirgen	0.692
akıllı	deli	0.917
din	dua	0.858
saydam	süreli	0.075
yağcılık	heykel	0.017
maymungilleri	muz	0.608
oksijen	hayat	0.8
hastane	çare	0.758
içki	boza	0.358
tahta	ahşap	0.825
kral	yağcılık	0.45
teizm	inançlılık	0.842
kordon	sicim	0.392
fani	adalet	0.08299999999999999
ikindi	oğlan	0.008
deneyimleme	tecrübelenme	0.867
satmışlardır	lokanta	0.08299999999999999
kırmızı	namaz	0.008
mezarhane	kabristan	0.883
ekonomi	para	0.858
dua	namaz	0.858
arkadaşımsı	kitaphane	0.067
enerjik	yorgun	0.867
kağıt	gazete	0.758
cihaz	radyo	0.7
kral	affedişi	0.28300000000000003
yeni	gençmişçesine	0.35
öğrenci	hayta	0.492
araba	petrol	0.792
şiddetli	sarsıcı	0.8
su	deniz	0.825
başlamadılarsa	başladılarsa	0.867
normalleşiyor	anormalleşiyor	0.9
kan	kırmızı	0.833
beyaz	papatya	0.667
kıyı	ormanlık	0.4
orman	kabristan	0.317
üşengen	harika	0.033
normalleşiyor	ısınmış	0.041999999999999996
radyo	müzik	0.758
suçlu	masum	0.858
erkekçene	yüreklicesine	0.7
ısınmış	barıştırılırken	0.033
pratikleştirsin	kavramsallaştırsın	0.325
televizyon	cenin	0.017
pimpirikli	bıçak	0.05
mezarlık	ormanlık	0.325
mutluluk	harika	0.542
hastane	rahatsız	0.65
özgür	yardım	0.158
horultu	saray	0.025
üretim	sanatçı	0.508
peşinatsız	ekonomi	0.483
mutfak	ocak	0.75
böcek	kelebek	0.7
çenebazlığına	geçirgen	0.008
geçirgen	cam	0.542
beyaz	külot	0.683
tımarhane	deli	0.875
muhalefetçiler	kemalci	0.525
savaştırılırken	cezalandırışı	0.28300000000000003
zaman	ikindi	0.708
atatürkist	tecrübelenme	0.057999999999999996
lamba	geceleyin	0.692
sabır	sabırsızlık	0.867
transparan	deneyimleme	0.008
haşarı	hayta	0.775
yiyecek	horoz	0.317
yoğurt	inançlılık	0.017
kıtlıklarda	bolluklarda	0.9
siyah	beyaz	0.95
otomobil	tren	0.775
mutluluk	sicim	0.008
fırın	ocak	0.833
ipek	kapüşon	0.258
savunmaktaydılar	saldırmaktaydılar	0.892
bitki	enginar	0.717
hukuk	nezle	0.017
horultu	gürültü	0.708
süt	peynir	0.817
bağışlayışı	cezalandırışı	0.842
su	çiçek	0.625
taşıt	gemicik	0.683
yiyecek	meyve	0.758
kuşku	şüphe	0.933
çocuk	anne	0.8
iyiliyorsun	kötülüyorsun	0.908
şeffaf	saydam	0.95
teizm	çerçeve	0.025
anormalleşiyor	kapüşon	0.008
sevgili	mutluluk	0.575
delilim	televizyon	0.05
sofra	bıçak	0.617
ipek	gömlek	0.717
sanatçı	heykel	0.75
medya	yağcılık	0.55
din	ibadet	0.908
tutsak	yakın	0.041999999999999996
zarar	para	0.483
ateistlik	sekülerizmciler	0.508
sabahlardaki	kahvaltı	0.717
kadın	anne	0.783
sabır	mühendis	0.2
yakın	sıkı	0.633
saray	kral	0.9
damar	mezar	0.1
kuyumcu	mücevher	0.858
müzik	ses	0.883
alet	terazi	0.608
kesintili	manavınkiler	0.017
cansız	ahşap	0.233
otobüs	sefer	0.717
kahvaltı	adalet	0.017
cam	büyücü	0.092
anarşist	somurtma	0.033
kıtlıklarda	tüketim	0.508
kitaphane	kitap	0.9
kuşku	sabırsızlık	0.133
çiçek	papatya	0.817
manken	kelebek	0.017
ıslak	yağmur	0.792
mühendis	üretim	0.608
süreli	ebediyeten	0.65
cisim	cihaz	0.617
korumaktaydılar	öldürülüşündeki	0.2
aile	somut	0.08299999999999999
ses	horultu	0.65
sesteş	evetçiler	0.041999999999999996
kemalci	kemalizmcilerden	0.867
şiddetli	yorgunluk	0.317
papatya	gülüş	0.2
ocak	kabristan	0.017
tecrübelenme	alışkın	0.458
haşarı	pimpirikli	0.08299999999999999
transparan	yoğurt	0.017
oruç	taksi	0.017
kuyumcu	terazi	0.46699999999999997
oğlan	delikanlı	0.758
mezarlık	tavuk	0.017
hamile	dükkan	0.125
primatçaları	zeki	0.242
hastane	tıp	0.817
terazi	tıp	0.025
avare	uyumlu	0.057999999999999996
sabırsızlık	gözlükçü	0.017
kum	kadeh	0.2
cinayetindeki	öldürülüşündeki	0.917
primatçaları	maymungilleri	0.8
sihirbaz	öncülük	0.033
kuş	tavuk	0.65
giysi	ceket	0.758
pamuk	üretim	0.608
noksan	eksik	0.983
taşıt	otobüs	0.8
eşya	radyo	0.675
satmışlardır	almışlardır	0.883
cihaz	televizyon	0.7
suskunluğuna	brüt	0.017
suskunluğuna	konuşkanlığına	0.875
geceleyin	erkekçene	0.067
medya	kral	0.175
iyiliyorsun	pratikleştirsin	0.217
şüphe	mutluluk	0.133
memur	polis	0.667
meslek	kuyumcu	0.667
fırın	öncülük	0.017
eski	yaşlıymışçasına	0.4
masum	dostçasına	0.333
lokanta	dükkan	0.583
ebleh	akıllı	0.75
vitrin	televizyon	0.4
şeffaf	opak	0.717
dua	ölü	0.683
yorgunluk	sarsıcı	0.233
davadaş	yoldaş	0.883
özgür	serbest	0.975
gözlük	cam	0.875
vicdan	pıhtı	0.017
gülüş	gül	0.483
kahvaltı	zeytin	0.75
ceket	kapüşon	0.725
araba	seyahat	0.808
evrensel	karışık	0.092
beyaz	horultu	0.008
gürültü	müzik	0.592
taksi	yüzük	0.017
başıboş	yorgun	0.033
hayvan	kuş	0.692
opak	çamaşır	0.10800000000000001
kahin	şüphe	0.133
çenebazlığına	kirlice	0.017
serin	sıcak	0.783
inançlılık	ateistlik	0.892
konuşkanlığına	çenebazlığına	0.908
sanatçı	şair	0.817
mezarhane	ölü	0.817
anarşist	aykırı	0.833
uzak	fazlalık	0.16699999999999998
fazlalık	noksan	0.808
meslek	sanatçı	0.725
tıp	yardım	0.708
kuyumcu	yüzük	0.858
meyve	manavınkiler	0.833
devlet	korumaktaydılar	0.45
kelebek	kemik	0.017
harika	şahane	0.917
faiz	kazanç	0.808
mezarlık	mezar	0.917
gazete	haber	0.908
kıyı	sahil	0.9
hukuk	ispatım	0.7
gündüz	geceleyin	0.892
noksan	gömlek	0.017
kötülüyorsun	bolluklarda	0.025
alışkın	yeni	0.458
uygulamak	alet	0.317
cevher	mücevher	0.65
medya	gazete	0.808
kadeh	içki	0.85
atletik	ebleh	0.057999999999999996
okul	öğrenci	0.892
öldürülüşündeki	suçlu	0.692
düzenci	anarşist	0.75
kıyı	gemicik	0.55
oruç	zaman	0.633
kadın	çocuk	0.725
ateistlik	teizm	0.883
barıştırılırken	savaştırılırken	0.908
horoz	alet	0.017
borçlanmak	alacaklanmak	0.883
maymunsuları	maymungilleri	0.908
hamile	düzenci	0.017
öğle	orman	0.025
otomobil	araba	0.933
meyve	muz	0.792
süt	bilişim	0.017
atatürkist	davadaş	0.317
mezar	ölü	0.908
vitrin	manken	0.75
turizm	düzenci	0.017
fani	ölü	0.8
sosyalleştirdikleri	başıboş	0.05
kirlice	lamba	0.1
kadın	hamile	0.8
karışık	temiz	0.2
şair	sabır	0.175
maymunsuları	kuş	0.383
şeffaf	transparan	0.967
hayvan	böcek	0.767
cisim	somut	0.667
aile	anne	0.85
varlık	cisim	0.708
öğle	ikindi	0.833
soğuk	sıcak	0.942
peşinatsız	gülümseme	0.025
kum	hastane	0.017
fırın	kahin	0.017
uyumlu	aykırı	0.917
ağaç	bitki	0.8574999999999999
alet	araç	0.5975
araba	yolculuk	0.7275
ayak	çorap	0.8400000000000001
bilge	büyücü	0.2
birader	delikanlı	0.3075
birader	keşiş	0.03999999999999998
bisiklet	vasıta	0.5675
boya	vites	0.012500000000000011
büyük	küçük	0.8799999999999999
cam	sihirbaz	0.13
sırıtma	tebessüm	0.6825
cam	bardak	0.7775000000000001
çerçeve	bisiklet	0.027500000000000024
civciv	horoz	0.59
dilek	arzu	0.8799999999999999
direksiyon	vites	0.6525
doktor	hekim	0.9775
dolap	giysi	0.7625
duvar	boya	0.7275
fırın	alet	0.30000000000000004
kapı	futbol	0.027500000000000024
gazete	makale	0.7225
sığınma	tımarhane	0.15250000000000002
güvenlik	bıyık	0.11249999999999999
haber	güvenlik	0.175
direksiyon	kanepe	0.0
horoz	seyahat	0.017500000000000016
imza	sahil	0.0050000000000000044
istiare	rüya	0.58
sihirbaz	kahin	0.575
ışık	lamba	0.9325000000000001
kablo	tebessüm	0.017500000000000016
kablo	ip	0.5175
kabristan	ağaçlık	0.40249999999999997
güvenlik	silah	0.6925
kabristan	öbek	0.15999999999999998
kıyı	seyahat	0.4375
kahin	bilge	0.665
kamyon	lojistik	0.6125
kuş	alet	0.0625
kamyon	büyük	0.5225
öğlen	akşam	0.7775000000000001
kanıt	delil	1.0
kapı	eşik	0.825
kabristan	mezarlık	0.9950000000000001
kıyı	ağaçlık	0.26749999999999996
oğlan	bilge	0.03999999999999998
koltuk	kanepe	0.9099999999999999
kuş	ağaçlık	0.6075
meyve	fırın	0.09000000000000002
mezarlık	tımarhane	0.09749999999999998
minder	mücevher	0.03999999999999998
orman	mezarlık	0.22749999999999998
otomobil	büyücü	0.017500000000000016
öbek	ocak	0.027500000000000024
oğlan	horoz	0.125
sığınma	keşiş	0.1375
cam	mücevher	0.33999999999999997
öğlen	ip	0.017500000000000016
önder	lider	0.96
orman	ağaçlık	0.9550000000000001
öbek	kıyı	0.09000000000000002
otomobil	minder	0.15250000000000002
pakt	antlaşma	0.9424999999999999
parça	pakt	0.09000000000000002
resim	çerçeve	0.8474999999999999
rıza	onay	0.9099999999999999
sahil	orman	0.33499999999999996
sehpa	küçük	0.37
sahil	tepe	0.175
yemek	meyve	0.5975
sakal	bıyık	0.8925000000000001
sehpa	masa	0.7325
minder	yastık	0.8525
serf	köle	0.6525
parça	bütün	0.7725
silah	çorap	0.0675
siyaset	futbol	0.22249999999999998
sığınma	meyve	0.012500000000000011
vinç	alet	0.5975
sığınma	kabristan	0.0625
sırıtma	alet	0.0050000000000000044
tabiat	doğa	0.9875
takı	mücevher	0.96
tepe	öbek	0.35250000000000004
vinç	horoz	0.012500000000000011
yemek	horoz	0.26749999999999996
yolculuk	seyahat	0.9875
zaman	süre	0.9724999999999999
sırıtma	delikanlı	0.0675
tepe	ağaçlık	0.38
